G-word;E-word;WdNum;VAL_Mean;VAL_SD;ARO_Mean_(ANEW);ARO_SD_(ANEW);ARO_Mean_(BAWL);ARO_SD_(BAWL);DOM_Mean;DOM_SD;POT_Mean;POT_SD;IMA_MEAN;IMA_SD;freq_Leipzig;freq_SUBTLEX;#_letters;#_syllables;word_class;N_orth;HFN;NF_MAX;F_SUM
Keime;germs;764;-1.27;1.67;5.95;1.70;2.92;1.09;4.00;1.52;5.30;1.77;3.65;1.57;89.00;1.34;5;2;S;0;0;0.00;0.00
Glas;glass;765;0.64;0.95;3.80;1.91;1.77;0.81;6.13;1.26;4.15;1.63;5.55;1.53;1230.00;51.10;4;1;S;1;0;23.50;23.50
gut;good;766;1.47;1.06;4.75;1.86;2.04;0.92;6.06;1.18;5.30;1.87;2.65;1.73;25283.00;2839.84;3;1;A;4;0;42.17;90.17
Klatsch;gossip;767;-0.50;1.26;5.45;1.54;2.92;1.06;5.88;1.79;4.95;1.47;3.25;1.89;62.00;3.70;7;1;S;1;0;0.00;0.00
Gras;grass;768;0.77;1.27;3.30;1.30;1.59;0.80;5.25;2.01;4.65;1.41;5.82;1.05;265.00;31.14;4;5;S;10;5;127.67;366.50
Geiz;greed;769;-1.60;0.97;5.90;1.62;3.61;0.92;4.81;1.37;6.08;1.44;2.89;1.45;46.00;0.35;4;1;S;3;1;13.17;13.83
grüßen;greet;770;1.20;0.91;4.50;1.54;2.04;0.88;6.44;1.28;5.77;1.19;4.76;1.71;185.00;11.14;6;2;V;1;1;18.50;18.50
Granate;grenade;771;-2.50;0.71;7.50;1.54;4.06;1.18;4.13;2.27;6.55;1.54;5.89;1.54;99.00;5.28;7;3;S;0;0;0.00;0.00
Grinsen;grin;773;1.76;1.01;5.40;1.79;2.88;1.17;6.44;1.47;5.45;1.81;5.45;1.57;19.00;4.53;7;2;S;0;0;0.00;0.00
Beschwerde;gripe;774;-1.40;1.06;6.70;1.17;3.27;0.96;4.94;1.56;6.00;1.76;2.85;1.27;534.00;3.70;10;3;S;0;0;0.00;0.00
Gewohnheit;habit;775;0.07;0.70;3.30;1.81;2.00;1.06;5.00;2.21;4.88;1.80;2.50;1.36;144.00;4.88;10;3;S;0;0;0.00;0.00
Haarnadel;hairpin;776;0.21;0.43;3.70;1.66;2.38;1.06;6.25;1.73;3.55;1.50;6.05;1.32;4.00;0.91;9;3;S;0;0;0.00;0.00
Hamburger;hamburger;777;0.33;1.11;4.30;1.56;2.42;1.06;5.63;1.22;4.33;1.73;6.25;0.97;8174.00;7.05;9;3;S;0;0;0.00;0.00
Hand;hand;778;1.21;1.12;3.15;1.46;1.78;0.73;5.69;1.67;5.03;1.56;6.88;0.33;7856.00;232.65;4;1;S;10;1;843.83;1262.17
Nachteil;handicap;779;-1.30;0.95;5.05;1.64;3.17;0.99;4.88;1.59;5.52;1.69;2.00;1.22;629.00;3.11;8;2;S;0;0;0.00;0.00
zufällig;haphazard;780;0.20;0.77;4.50;1.61;2.54;1.07;3.75;1.70;4.28;1.40;2.00;1.34;928.00;45.91;8;3;A;0;0;0.00;0.00
hart;hard;781;-0.40;1.06;5.90;1.52;2.77;1.18;5.19;1.15;6.03;1.48;3.65;1.98;2177.00;112.92;4;1;A;13;0;49.00;172.00
Bedrängnisse;hardship;782;-1.53;0.64;6.95;1.05;3.88;0.95;3.69;1.46;6.30;1.22;3.05;1.67;3.00;0.00;12;4;S;0;0;0.00;0.00
Hut;hat;783;0.00;0.38;3.50;1.70;2.12;0.99;6.19;1.81;4.03;1.70;6.50;1.00;812.00;45.91;3;1;S;4;2;1375.33;1435.00
Heu;hay;784;0.47;0.83;3.25;1.74;2.19;1.10;5.94;1.39;3.75;1.50;6.30;0.92;102.00;2.80;3;1;S;4;3;1356.67;1656.83
Scheinwerfer;headlight;785;0.00;1.48;5.05;1.05;3.45;1.04;5.19;1.53;5.36;1.12;6.35;0.88;92.00;3.74;12;3;S;0;0;0.00;0.00
heilen;heal;786;2.00;0.76;4.40;1.67;2.46;1.07;5.25;2.15;5.43;1.72;3.50;1.43;247.00;23.82;6;2;V;11;3;510.17;659.33
Herz;heart;787;2.30;1.06;5.00;2.20;3.28;1.36;5.19;1.49;5.95;1.91;6.44;0.88;2142.00;175.48;4;1;S;5;1;692.00;733.83
Hölle;hell;788;-1.93;1.39;6.45;1.79;4.11;0.92;4.13;2.28;6.75;1.61;5.46;1.86;508.00;145.40;5;2;S;4;1;37.17;56.17
Heroin;heroin;789;-2.00;1.41;7.26;1.52;4.00;0.89;4.88;2.95;7.03;1.19;4.50;1.82;389.00;12.21;6;3;S;2;2;14.83;17.67
